"id","D10S1248","D10S1248.1","D12S391","D12S391.1","D16S539","D16S539.1","D18S51","D18S51.1","D19S433","D19S433.1","D1S1656","D1S1656.1","D21S11","D21S11.1","D22S1045","D22S1045.1","D2S1338","D2S1338.1","D2S441","D2S441.1","D3S1358","D3S1358.1","D8S1179","D8S1179.1","FGA","FGA.1","TH01","TH01.1","vWA","vWA.1","CSF1PO","CSF1PO.1","D13S317","D13S317.1","D5S818","D5S818.1","D7S820","D7S820.1","TPOX","TPOX.1"
"100001_M",13,14,18,20,9,12,12,13,14,15,15,16,28,33.2,15,16,18,19,10,11,14,15,10,13,24,24,6,6,16,16,10,12,12,13,11,11,10,11,8,11
"100001_AF",14,16,19,19,12,12,13,14,13,14,17.3,17.3,29,32.2,16,17,22,23,12,14,15,16,10,13,21,21,7,7,16,17,10,11,9,11,11,11,10,11,12,12
"100002_M",14,14,17,18,9,13,15,17,12,15,12,15,28,31,15,15,17,17,11,13,17,18,12,14,22,23,8,9,15,15,10,13,11,12,11,13,10,10,8,9
"100002_AF",13,15,19,21,11,12,12,13,14,16,15,16.3,30,30,15,17,16,25,14,14,15,16,13,14,20,23,6,9.3,15,17,10,11,9,11,12,12,11,13,8,11
"100003_M",13,14,15,18,11,12,13,18,12,13,14,15,28,30,11,13,22,23,10,11.3,17,18,11,13,20,22,7,9.3,15,16,8,10,9,10,11,13,11,13,8,11
"100003_AF",14,15,19,20,11,11,17,22,13,15,17,17,31.2,31.2,11,16,19,23,10,12,15,16,13,13,20,21,9,9,18,18,11,12,8,9,12,12,11,13,11,12
"100004_M",13,14,18,19,9,11,10,15,13,15,18.3,18.3,28,30,15,15,17,23,10,14,14,16,13,15,22,24,6,9.3,15,16,11,13,11,12,10,13,11,12,8,9
"100004_AF",13,14,20,23,9,10,17,17,14,15,15,15,30,31.2,16,17,18,25,10,14,18,18,13,14,21,25,6,8,15,18,11,13,10,11,11,13,8,9,8,11
"110100_AF",13,13,18,24,9,10,12,12,13.2,15,14,14,28,32,15,16,23,27,10,12,14,16,13,16,21,22,8,9,17,17,10,11,10,11,12,12,9,10,9,10
